# file...... Fixed_Electric_outside_conditions.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# target.... house 26
# trigger... (none)
# interval.. 3600
# limit..... 8808
# timestamp,outdoor_temperature,solar_gain
2006-01-04 20:00:00 CST,+17.2419961849,+0
2006-01-04 21:00:00 CST,+17.9619961791,+0
2006-01-04 22:00:00 CST,+17.601996182,+0
2006-01-04 23:00:00 CST,+17.4219961834,+0
2006-01-05 00:00:00 CST,+17.0619961863,+0
2006-01-05 01:00:00 CST,+18.3219961762,+0
2006-01-05 02:00:00 CST,+19.7619961647,+0
2006-01-05 03:00:00 CST,+21.0219961546,+0
2006-01-05 04:00:00 CST,+21.0219961546,+0
2006-01-05 05:00:00 CST,+21.0219961546,+0
2006-01-05 06:00:00 CST,+21.0219961546,+0
2006-01-05 07:00:00 CST,+21.3819961517,+25.6222410025
2006-01-05 08:00:00 CST,+21.5619961503,+397.171185046
2006-01-05 09:00:00 CST,+21.9219961474,+895.314401766
2006-01-05 10:00:00 CST,+22.6419961417,+1747.91732239
2006-01-05 11:00:00 CST,+23.3619961359,+1820.49055372
2006-01-05 12:00:00 CST,+24.0819961301,+1961.08650449
2006-01-05 13:00:00 CST,+23.3619961359,+1761.872469
2006-01-05 14:00:00 CST,+22.6419961417,+1400.85930274
2006-01-05 15:00:00 CST,+21.9219961474,+588.280279547
2006-01-05 16:00:00 CST,+20.6619961575,+186.345703952
2006-01-05 17:00:00 CST,+19.221996169,+0
2006-01-05 18:00:00 CST,+17.9619961791,+0
2006-01-05 19:00:00 CST,+18.3219961762,+0
2006-01-05 20:00:00 CST,+18.6819961733,+0
2006-01-05 21:00:00 CST,+19.0419961705,+0
2006-01-05 22:00:00 CST,+17.9619961791,+0
2006-01-05 23:00:00 CST,+17.0619961863,+0
2006-01-06 00:00:00 CST,+15.9819961949,+0
2006-01-06 01:00:00 CST,+12.3819962237,+0
2006-01-06 02:00:00 CST,+8.60199625398,+0
2006-01-06 03:00:00 CST,+5.00199628278,+0
2006-01-06 04:00:00 CST,+3.74199629286,+0
2006-01-06 05:00:00 CST,+2.30199630438,+0
2006-01-06 06:00:00 CST,+1.04199631446,+0
2006-01-06 07:00:00 CST,+5.72199627702,+110.050654091
2006-01-06 08:00:00 CST,+10.4019962396,+1534.50557525
2006-01-06 09:00:00 CST,+15.0819962021,+2700.26612203
2006-01-06 10:00:00 CST,+17.7819961805,+3156.2925541
2006-01-06 11:00:00 CST,+20.3019961604,+3222.97095907
2006-01-06 12:00:00 CST,+23.0019961388,+3387.67497297
2006-01-06 13:00:00 CST,+21.7419961489,+3310.0818445
