# file...... Fixed_Electric_TPM_2_of_3.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# target.... triplex_meter 17
# trigger... (none)
# interval.. 3600
# limit..... 8808
# timestamp,measured_real_energy,monthly_energy
2006-01-01 00:00:00 CST,+0,+0
2006-01-01 01:00:00 CST,+149564.579522,+149.564579522
2006-01-01 02:00:00 CST,+379556.677779,+379.556677779
2006-01-01 03:00:00 CST,+643235.665292,+643.235665292
2006-01-01 04:00:00 CST,+938263.156833,+938.263156833
2006-01-01 05:00:00 CST,+1216744.92393,+1216.74492393
2006-01-01 06:00:00 CST,+1552054.16195,+1552.05416195
2006-01-01 07:00:00 CST,+1918051.31086,+1918.05131086
2006-01-01 08:00:00 CST,+2243961.53148,+2243.96153148
2006-01-01 09:00:00 CST,+2556702.06015,+2556.70206015
2006-01-01 10:00:00 CST,+2816883.47059,+2816.88347059
2006-01-01 11:00:00 CST,+3054080.09705,+3054.08009705
2006-01-01 12:00:00 CST,+3281566.71011,+3281.56671011
2006-01-01 13:00:00 CST,+3479909.66519,+3479.90966519
2006-01-01 14:00:00 CST,+3674034.63456,+3674.03463456
2006-01-01 15:00:00 CST,+3868365.14934,+3868.36514934
2006-01-01 16:00:00 CST,+4067857.46622,+4067.85746622
2006-01-01 17:00:00 CST,+4313037.47488,+4313.03747488
2006-01-01 18:00:00 CST,+4653970.10721,+4653.97010721
2006-01-01 19:00:00 CST,+4987577.65102,+4987.57765102
2006-01-01 20:00:00 CST,+5270869.3449,+5270.8693449
2006-01-01 21:00:00 CST,+5475679.81975,+5475.67981975
2006-01-01 22:00:00 CST,+5623942.97949,+5623.94297949
2006-01-01 23:00:00 CST,+5775841.70086,+5775.84170086
2006-01-02 00:00:00 CST,+5936508.85346,+5936.50885346
2006-01-02 01:00:00 CST,+6133245.3471,+6133.2453471
2006-01-02 02:00:00 CST,+6346272.34004,+6346.27234004
2006-01-02 03:00:00 CST,+6572819.22223,+6572.81922223
2006-01-02 04:00:00 CST,+6847736.15639,+6847.73615639
2006-01-02 05:00:00 CST,+7103061.96548,+7103.06196548
2006-01-02 06:00:00 CST,+7423055.11232,+7423.05511232
2006-01-02 07:00:00 CST,+7765978.99507,+7765.97899507
2006-01-02 08:00:00 CST,+8065389.69169,+8065.38969169
2006-01-02 09:00:00 CST,+8320473.39812,+8320.47339812
2006-01-02 10:00:00 CST,+8503968.57311,+8503.96857311
2006-01-02 11:00:00 CST,+8676681.92517,+8676.68192517
2006-01-02 12:00:00 CST,+8856052.93401,+8856.05293401
2006-01-02 13:00:00 CST,+9026030.96797,+9026.03096797
2006-01-02 14:00:00 CST,+9215142.06032,+9215.14206032
2006-01-02 15:00:00 CST,+9404453.48901,+9404.45348901
2006-01-02 16:00:00 CST,+9611242.60832,+9611.24260832
2006-01-02 17:00:00 CST,+9879988.31371,+9879.98831371
2006-01-02 18:00:00 CST,+10251975.8083,+10251.9758083
2006-01-02 19:00:00 CST,+10635558.8243,+10635.5588243
2006-01-02 20:00:00 CST,+11007579.0365,+11007.5790365
2006-01-02 21:00:00 CST,+11336825.5825,+11336.8255825
2006-01-02 22:00:00 CST,+11653740.5107,+11653.7405107
2006-01-02 23:00:00 CST,+11953498.5299,+11953.4985299
2006-01-03 00:00:00 CST,+12255885.4316,+12255.8854316
2006-01-03 01:00:00 CST,+12577449.6211,+12577.4496211
2006-01-03 02:00:00 CST,+12883748.537,+12883.748537
2006-01-03 03:00:00 CST,+13176956.9357,+13176.9569357
2006-01-03 04:00:00 CST,+13478887.5864,+13478.8875864
2006-01-03 05:00:00 CST,+13750251.1904,+13750.2511904
2006-01-03 06:00:00 CST,+14073270.1297,+14073.2701297
2006-01-03 07:00:00 CST,+14410760.2668,+14410.7602668
2006-01-03 08:00:00 CST,+14719718.3014,+14719.7183014
2006-01-03 09:00:00 CST,+15007116.3457,+15007.1163457
2006-01-03 10:00:00 CST,+15225658.4592,+15225.6584592
2006-01-03 11:00:00 CST,+15413626.9158,+15413.6269158
2006-01-03 12:00:00 CST,+15599539.4249,+15599.5394249
2006-01-03 13:00:00 CST,+15762613.9868,+15762.6139868
2006-01-03 14:00:00 CST,+15953029.7618,+15953.0297618
2006-01-03 15:00:00 CST,+16165102.3989,+16165.1023989
2006-01-03 16:00:00 CST,+16421608.0193,+16421.6080193
2006-01-03 17:00:00 CST,+16712754.4267,+16712.7544267
2006-01-03 18:00:00 CST,+17087242.7421,+17087.2427421
2006-01-03 19:00:00 CST,+17443725.7875,+17443.7257875
2006-01-03 20:00:00 CST,+17800815.3756,+17800.8153756
2006-01-03 21:00:00 CST,+18133081.8037,+18133.0818037
2006-01-03 22:00:00 CST,+18457891.9793,+18457.8919793
2006-01-03 23:00:00 CST,+18778700.8661,+18778.7008661
2006-01-04 00:00:00 CST,+19115128.6393,+19115.1286393
2006-01-04 01:00:00 CST,+19477310.9984,+19477.3109984
2006-01-04 02:00:00 CST,+19850967.5576,+19850.9675576
2006-01-04 03:00:00 CST,+20233720.9535,+20233.7209535
2006-01-04 04:00:00 CST,+20650615.485,+20650.615485
2006-01-04 05:00:00 CST,+21044313.0604,+21044.3130604
2006-01-04 06:00:00 CST,+21502891.9535,+21502.8919535
2006-01-04 07:00:00 CST,+21968469.5754,+21968.4695754
2006-01-04 08:00:00 CST,+22399056.092,+22399.056092
2006-01-04 09:00:00 CST,+22798722.8624,+22798.7228624
2006-01-04 10:00:00 CST,+23142628.2102,+23142.6282102
2006-01-04 11:00:00 CST,+23461892.4139,+23461.8924139
2006-01-04 12:00:00 CST,+23760685.5998,+23760.6855998
2006-01-04 13:00:00 CST,+24046390.4528,+24046.3904528
2006-01-04 14:00:00 CST,+24323300.6145,+24323.3006145
2006-01-04 15:00:00 CST,+24603421.1431,+24603.4211431
2006-01-04 16:00:00 CST,+24894269.7867,+24894.2697867
2006-01-04 17:00:00 CST,+25247395.0802,+25247.3950802
2006-01-04 18:00:00 CST,+25695133.4555,+25695.1334555
2006-01-04 19:00:00 CST,+26138976.662,+26138.976662
2006-01-04 20:00:00 CST,+26569698.0558,+26569.6980558
2006-01-04 21:00:00 CST,+26952034.6618,+26952.0346618
2006-01-04 22:00:00 CST,+27316429.2839,+27316.4292839
2006-01-04 23:00:00 CST,+27666131.8773,+27666.1318773
2006-01-05 00:00:00 CST,+28011179.9517,+28011.1799517
2006-01-05 01:00:00 CST,+28374306.2321,+28374.3062321
2006-01-05 02:00:00 CST,+28728221.5217,+28728.2215217
2006-01-05 03:00:00 CST,+29076527.3061,+29076.5273061
2006-01-05 04:00:00 CST,+29440265.0211,+29440.2650211
2006-01-05 05:00:00 CST,+29779875.7259,+29779.8757259
2006-01-05 06:00:00 CST,+30177843.4914,+30177.8434914
2006-01-05 07:00:00 CST,+30588124.7342,+30588.1247342
2006-01-05 08:00:00 CST,+30976525.1191,+30976.5251191
2006-01-05 09:00:00 CST,+31355782.0165,+31355.7820165
2006-01-05 10:00:00 CST,+31693076.6676,+31693.0766676
2006-01-05 11:00:00 CST,+32000152.1282,+32000.1521282
2006-01-05 12:00:00 CST,+32298681.6663,+32298.6816663
2006-01-05 13:00:00 CST,+32586092.0788,+32586.0920788
2006-01-05 14:00:00 CST,+32880149.7809,+32880.1497809
2006-01-05 15:00:00 CST,+33187015.9757,+33187.0159757
2006-01-05 16:00:00 CST,+33520854.5859,+33520.8545859
2006-01-05 17:00:00 CST,+33883399.8475,+33883.3998475
2006-01-05 18:00:00 CST,+34332070.2362,+34332.0702362
2006-01-05 19:00:00 CST,+34766170.2776,+34766.1702776
2006-01-05 20:00:00 CST,+35185053.412,+35185.053412
2006-01-05 21:00:00 CST,+35561069.0329,+35561.0690329
2006-01-05 22:00:00 CST,+35915797.3501,+35915.7973501
2006-01-05 23:00:00 CST,+36264617.771,+36264.617771
2006-01-06 00:00:00 CST,+36608951.2988,+36608.9512988
2006-01-06 01:00:00 CST,+36978917.0451,+36978.9170451
2006-01-06 02:00:00 CST,+37365314.606,+37365.314606
2006-01-06 03:00:00 CST,+37773637.207,+37773.637207
2006-01-06 04:00:00 CST,+38228815.1925,+38228.8151925
2006-01-06 05:00:00 CST,+38661537.0031,+38661.5370031
2006-01-06 06:00:00 CST,+39161850.1558,+39161.8501558
2006-01-06 07:00:00 CST,+39666546.0406,+39666.5460406
2006-01-06 08:00:00 CST,+40134330.4998,+40134.3304998
2006-01-06 09:00:00 CST,+40563925.6054,+40563.9256054
2006-01-06 10:00:00 CST,+40920595.0319,+40920.5950319
2006-01-06 11:00:00 CST,+41249457.7298,+41249.4577298
2006-01-06 12:00:00 CST,+41555354.1322,+41555.3541322
2006-01-06 13:00:00 CST,+41840665.0439,+41840.6650439
