# file...... Fixed_Electric_main_meter.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# target.... meter 6
# trigger... (none)
# interval.. 3600
# limit..... 8808
# timestamp,measured_real_power,measured_reactive_power,measured_real_energy,measured_reactive_energy
2006-01-03 09:00:00 CST,+855123.686704,+95432.6463512,+48920992.0037,+5999266.50586
2006-01-03 10:00:00 CST,+732190.229355,+84816.3066168,+49633900.2677,+6072015.25577
2006-01-03 11:00:00 CST,+506789.301228,+41863.1148365,+50227660.3207,+6126348.55719
2006-01-03 12:00:00 CST,+476885.157863,+38272.8038194,+50818057.139,+6179343.59385
2006-01-03 13:00:00 CST,+474612.431731,+36366.3523992,+51337754.0667,+6221315.32056
2006-01-03 14:00:00 CST,+346382.702579,+22108.4654692,+51936967.4322,+6276836.22505
2006-01-03 15:00:00 CST,+702324.749692,+80257.7355667,+52624406.7747,+6347061.59906
2006-01-03 16:00:00 CST,+777584.607485,+81783.4259204,+53455371.9136,+6445581.1089
2006-01-03 17:00:00 CST,+1354443.43961,+204803.175109,+54410768.1298,+6568098.07311
2006-01-03 18:00:00 CST,+1001585.35455,+128649.857013,+55626464.0373,+6746181.16026
2006-01-03 19:00:00 CST,+1316223.77058,+194713.570317,+56780241.2792,+6909726.72615
2006-01-03 20:00:00 CST,+909079.209134,+115080.852318,+57943990.2666,+7077735.4003
2006-01-03 21:00:00 CST,+1090969.966,+153057.994289,+59023553.2077,+7230716.10525
2006-01-03 22:00:00 CST,+1085041.42761,+151638.951806,+60094148.7488,+7383008.76439
2006-01-03 23:00:00 CST,+1069807.9822,+157091.150212,+61147030.7171,+7531469.30933
2006-01-04 00:00:00 CST,+1050752.38708,+151203.126588,+62255746.2819,+7697170.14512
2006-01-04 01:00:00 CST,+1383292.65633,+234116.885697,+63441967.9665,+7882794.9914
2006-01-04 02:00:00 CST,+1171019.67482,+180109.390071,+64679311.1536,+8080375.34322
2006-01-04 03:00:00 CST,+1176974.16214,+181155.789619,+65943486.5215,+8283423.07484
2006-01-04 04:00:00 CST,+1339173.65508,+221054.478563,+67343751.3872,+8521517.46548
2006-01-04 05:00:00 CST,+1314491.72615,+214074.094399,+68654737.6443,+8735493.06163
2006-01-04 06:00:00 CST,+1601444.81801,+296142.769842,+70148409.9015,+8998595.97506
2006-01-04 07:00:00 CST,+1577030.7695,+288207.502047,+71681106.3983,+9272097.10579
2006-01-04 08:00:00 CST,+1274724.08316,+205660.894869,+73098169.7526,+9514867.82244
2006-01-04 09:00:00 CST,+1329930.98734,+219438.702631,+74406563.2474,+9730748.06128
2006-01-04 10:00:00 CST,+1042382.28304,+154358.059475,+75515211.4504,+9898986.80511
2006-01-04 11:00:00 CST,+1062031.54406,+153801.453269,+76531066.5474,+10044704.4546
2006-01-04 12:00:00 CST,+956416.349328,+131360.6803,+77465740.921,+10171043.5437
2006-01-04 13:00:00 CST,+993367.513467,+130693.254042,+78380254.4304,+10290611.9867
2006-01-04 14:00:00 CST,+903730.197788,+112134.452735,+79271784.967,+10404262.1718
2006-01-04 15:00:00 CST,+877627.877506,+113427.024907,+80178305.1657,+10520215.8326
2006-01-04 16:00:00 CST,+1032008.78452,+136421.149923,+81125569.2929,+10643852.3839
2006-01-04 17:00:00 CST,+1316443.33031,+201951.356098,+82272762.1943,+10815570.6199
2006-01-04 18:00:00 CST,+1165730.73618,+184280.197138,+83727372.5553,+11067614.5224
2006-01-04 19:00:00 CST,+1588268.68541,+287964.759257,+85173237.9456,+11318485.3483
2006-01-04 20:00:00 CST,+1096908.23739,+165565.145204,+86575297.103,+11556112.4688
2006-01-04 21:00:00 CST,+1264138.09172,+203952.776754,+87829420.1373,+11755848.3556
2006-01-04 22:00:00 CST,+936885.67324,+130739.776256,+89017679.8737,+11938635.2354
2006-01-04 23:00:00 CST,+1278518.07541,+202200.905142,+90159813.4216,+12111807.2519
2006-01-05 00:00:00 CST,+1182421.98624,+183690.602248,+91301982.6548,+12285930.5644
2006-01-05 01:00:00 CST,+1215395.31871,+189234.390419,+92495054.7361,+12472750.4154
2006-01-05 02:00:00 CST,+1129114.93382,+173004.686935,+93659134.5715,+12651924.4961
2006-01-05 03:00:00 CST,+1189195.7899,+187310.488678,+94797975.4963,+12825126.3908
2006-01-05 04:00:00 CST,+1146403.33295,+168943.419803,+96008415.203,+13012993.0967
2006-01-05 05:00:00 CST,+1246490.01313,+199826.883277,+97123024.7657,+13179778.867
2006-01-05 06:00:00 CST,+1355028.65586,+215533.161305,+98406387.5043,+13385854.1981
2006-01-05 07:00:00 CST,+1525130.28611,+274421.450371,+99722534.3831,+13599590.2191
