# file...... Fixed_Electric_TPM_1_of_3.csv
# date...... Tue May 04 10:07:08 2010
# user...... D3P313
# host...... (null)
# target.... triplex_meter 15
# trigger... (none)
# interval.. 3600
# limit..... 8808
# timestamp,measured_real_energy,monthly_energy
2006-01-01 00:00:00 CST,+0,+0
2006-01-01 01:00:00 CST,+168208.571056,+168.208571056
2006-01-01 02:00:00 CST,+422750.507282,+422.750507282
2006-01-01 03:00:00 CST,+718144.3327,+718.1443327
2006-01-01 04:00:00 CST,+1062867.62122,+1062.86762122
2006-01-01 05:00:00 CST,+1375523.07501,+1375.52307501
2006-01-01 06:00:00 CST,+1747156.43458,+1747.15643458
2006-01-01 07:00:00 CST,+2135287.75282,+2135.28775282
2006-01-01 08:00:00 CST,+2488878.37402,+2488.87837402
2006-01-01 09:00:00 CST,+2839656.50999,+2839.65650999
2006-01-01 10:00:00 CST,+3135648.28662,+3135.64828662
2006-01-01 11:00:00 CST,+3401766.60242,+3401.76660242
2006-01-01 12:00:00 CST,+3652118.68133,+3652.11868133
2006-01-01 13:00:00 CST,+3872114.51941,+3872.11451941
2006-01-01 14:00:00 CST,+4087842.98573,+4087.84298573
2006-01-01 15:00:00 CST,+4297185.19149,+4297.18519149
2006-01-01 16:00:00 CST,+4517062.54864,+4517.06254864
2006-01-01 17:00:00 CST,+4795158.17351,+4795.15817351
2006-01-01 18:00:00 CST,+5171696.50653,+5171.69650653
2006-01-01 19:00:00 CST,+5538799.67203,+5538.79967203
2006-01-01 20:00:00 CST,+5852120.14843,+5852.12014843
2006-01-01 21:00:00 CST,+6080274.41443,+6080.27441443
2006-01-01 22:00:00 CST,+6254374.15531,+6254.37415531
2006-01-01 23:00:00 CST,+6431909.04371,+6431.90904371
2006-01-02 00:00:00 CST,+6618911.23797,+6618.91123797
2006-01-02 01:00:00 CST,+6838896.09263,+6838.89609263
2006-01-02 02:00:00 CST,+7079341.30746,+7079.34130746
2006-01-02 03:00:00 CST,+7337581.69471,+7337.58169471
2006-01-02 04:00:00 CST,+7655282.97315,+7655.28297315
2006-01-02 05:00:00 CST,+7944916.44309,+7944.91644309
2006-01-02 06:00:00 CST,+8294212.27604,+8294.21227604
2006-01-02 07:00:00 CST,+8664535.37169,+8664.53537169
2006-01-02 08:00:00 CST,+8988912.17855,+8988.91217855
2006-01-02 09:00:00 CST,+9272355.34846,+9272.35534846
2006-01-02 10:00:00 CST,+9472607.87583,+9472.60787583
2006-01-02 11:00:00 CST,+9663492.41646,+9663.49241646
2006-01-02 12:00:00 CST,+9860691.43687,+9860.69143687
2006-01-02 13:00:00 CST,+10050484.5655,+10050.4845655
2006-01-02 14:00:00 CST,+10256520.2945,+10256.5202945
2006-01-02 15:00:00 CST,+10467456.3865,+10467.4563865
2006-01-02 16:00:00 CST,+10699024.6219,+10699.0246219
2006-01-02 17:00:00 CST,+10997069.0801,+10997.0690801
2006-01-02 18:00:00 CST,+11407025.4691,+11407.0254691
2006-01-02 19:00:00 CST,+11826067.2751,+11826.0672751
2006-01-02 20:00:00 CST,+12236085.739,+12236.085739
2006-01-02 21:00:00 CST,+12606265.5433,+12606.2655433
2006-01-02 22:00:00 CST,+12965531.1296,+12965.5311296
2006-01-02 23:00:00 CST,+13307780.0563,+13307.7800563
2006-01-03 00:00:00 CST,+13646857.0597,+13646.8570597
2006-01-03 01:00:00 CST,+14004993.986,+14004.993986
2006-01-03 02:00:00 CST,+14349287.4085,+14349.2874085
2006-01-03 03:00:00 CST,+14676476.1387,+14676.4761387
2006-01-03 04:00:00 CST,+15025400.3358,+15025.4003358
2006-01-03 05:00:00 CST,+15331202.961,+15331.202961
2006-01-03 06:00:00 CST,+15691581.2542,+15691.5812542
2006-01-03 07:00:00 CST,+16052414.1688,+16052.4141688
2006-01-03 08:00:00 CST,+16383239.7297,+16383.2397297
2006-01-03 09:00:00 CST,+16706431.5372,+16706.4315372
2006-01-03 10:00:00 CST,+16954171.8877,+16954.1718877
2006-01-03 11:00:00 CST,+17159607.4237,+17159.6074237
2006-01-03 12:00:00 CST,+17362524.3676,+17362.5243676
2006-01-03 13:00:00 CST,+17542241.0041,+17542.2410041
2006-01-03 14:00:00 CST,+17749362.0957,+17749.3620957
2006-01-03 15:00:00 CST,+17985750.0427,+17985.7500427
2006-01-03 16:00:00 CST,+18268911.0612,+18268.9110612
